Term;Main Term;Main Term URI
T2;abdominal mediotergite 3;http://purl.obolibrary.org/obo/HAO_0001147
first flagellomere;first flagellomere;http://purl.obolibrary.org/obo/HAO_0001148
1st flagellomere;first flagellomere;http://purl.obolibrary.org/obo/HAO_0001148
A3;first flagellomere;http://purl.obolibrary.org/obo/HAO_0001148
F1;first flagellomere;http://purl.obolibrary.org/obo/HAO_0001148
abdominal laterotergite 8;abdominal laterotergite 8;http://purl.obolibrary.org/obo/HAO_0001149
hemitergite;abdominal laterotergite 8;http://purl.obolibrary.org/obo/HAO_0001149
abdominal mediotergite 2;abdominal mediotergite 2;http://purl.obolibrary.org/obo/HAO_0001150
T1;abdominal mediotergite 2;http://purl.obolibrary.org/obo/HAO_0001150
abdominal mediotergite 4;abdominal mediotergite 4;http://purl.obolibrary.org/obo/HAO_0001151
T3;abdominal mediotergite 4;http://purl.obolibrary.org/obo/HAO_0001151
abdominal mediotergite 5;abdominal mediotergite 5;http://purl.obolibrary.org/obo/HAO_0001152
T4;abdominal mediotergite 5;http://purl.obolibrary.org/obo/HAO_0001152
abdominal mediotergite 6;abdominal mediotergite 6;http://purl.obolibrary.org/obo/HAO_0001153
T5;abdominal mediotergite 6;http://purl.obolibrary.org/obo/HAO_0001153
acidopore;acidopore;http://purl.obolibrary.org/obo/HAO_0001154
acropleuron;acropleuron;http://purl.obolibrary.org/obo/HAO_0001155
anapleurite;acropleuron;http://purl.obolibrary.org/obo/HAO_0001155
subalar area;acropleuron;http://purl.obolibrary.org/obo/HAO_0001155
acrotergite;acrotergite;http://purl.obolibrary.org/obo/HAO_0001156
adnotaular setae;adnotaular setae;http://purl.obolibrary.org/obo/HAO_0001157
adpetiolar strip;adpetiolar strip;http://purl.obolibrary.org/obo/HAO_0001158
adpetiolar triangle;adpetiolar strip;http://purl.obolibrary.org/obo/HAO_0001158
axillular line;axillular line;http://purl.obolibrary.org/obo/HAO_0001159
axillular grove/carina;axillular line;http://purl.obolibrary.org/obo/HAO_0001159
para-mesoscutellar suture;axillular line;http://purl.obolibrary.org/obo/HAO_0001159
parascutellar suture;axillular line;http://purl.obolibrary.org/obo/HAO_0001159
axillary region of the fore wing;axillary region of the fore wing;http://purl.obolibrary.org/obo/HAO_0001160
axillar depression;axillar depression;http://purl.obolibrary.org/obo/HAO_0001161
mesoscutellar trough;axillar depression;http://purl.obolibrary.org/obo/HAO_0001161
auxiliary propodeal carina;auxiliary propodeal carina;http://purl.obolibrary.org/obo/HAO_0001162
anteroventral cavity;anteroventral cavity;http://purl.obolibrary.org/obo/HAO_0001163
anterior tentorio-scapal muscle;anterior tentorio-scapal muscle;http://purl.obolibrary.org/obo/HAO_0001164
M. tentorioscapalis anterior;anterior tentorio-scapal muscle;http://purl.obolibrary.org/obo/HAO_0001164
muscle 5;anterior tentorio-scapal muscle;http://purl.obolibrary.org/obo/HAO_0001164
anterior stipito-palpal muscle;anterior stipito-palpal muscle;http://purl.obolibrary.org/obo/HAO_0001165
M. stipitopalpalis internus;anterior stipito-palpal muscle;http://purl.obolibrary.org/obo/HAO_0001165
anterior second valvifer-second valvula muscle;anterior second valvifer-second valvula muscle;http://purl.obolibrary.org/obo/HAO_0001166
anterior scutellum;anterior scutellum;http://purl.obolibrary.org/obo/HAO_0001167
anterior pronoto-laterocervical muscle;anterior pronoto-laterocervical muscle;http://purl.obolibrary.org/obo/HAO_0001168
anterior pronoto-laterocervical;anterior pronoto-laterocervical muscle;http://purl.obolibrary.org/obo/HAO_0001168
t1a-cv;anterior pronoto-laterocervical muscle;http://purl.obolibrary.org/obo/HAO_0001168
anterior mesonoto-metanotal muscle;anterior mesonoto-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001169
t2a-t3;anterior mesonoto-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001169
anterior glossal plate;anterior glossal plate;http://purl.obolibrary.org/obo/HAO_0001170
basal plate of tongue;anterior glossal plate;http://purl.obolibrary.org/obo/HAO_0001170
basiglossal sclerite;anterior glossal plate;http://purl.obolibrary.org/obo/HAO_0001170
glossal basis;anterior glossal plate;http://purl.obolibrary.org/obo/HAO_0001170
anterior flange of abdominal tergum nine;anterior flange of abdominal tergum nine;http://purl.obolibrary.org/obo/HAO_0001171
anterior flange;anterior flange of abdominal tergum nine;http://purl.obolibrary.org/obo/HAO_0001171
anterior flange of abdominal tergum 9;anterior flange of abdominal tergum nine;http://purl.obolibrary.org/obo/HAO_0001171
antennal muscle;antennal muscle;http://purl.obolibrary.org/obo/HAO_0001172
annulus;annulus;http://purl.obolibrary.org/obo/HAO_0001173
anepimeron;anepimeron;http://purl.obolibrary.org/obo/HAO_0001174
anapleurite;anapleurite;http://purl.obolibrary.org/obo/HAO_0001175
banding pattern;banding pattern;http://purl.obolibrary.org/obo/HAO_0001176
basal articulation;basal articulation;http://purl.obolibrary.org/obo/HAO_0001177
admedian clypeal furrow;admedian clypeal furrow;http://purl.obolibrary.org/obo/HAO_0001178
basal hooklet;basal hooklet;http://purl.obolibrary.org/obo/HAO_0001179
basitarsal comb;basitarsal comb;http://purl.obolibrary.org/obo/HAO_0001180
comb of the notch;basitarsal comb;http://purl.obolibrary.org/obo/HAO_0001180
pecten;basitarsal comb;http://purl.obolibrary.org/obo/HAO_0001180
strigil;basitarsal comb;http://purl.obolibrary.org/obo/HAO_0001180
tarsal comb;basitarsal comb;http://purl.obolibrary.org/obo/HAO_0001180
foretarsal rake;foretarsal rake;http://purl.obolibrary.org/obo/HAO_0001181
cercal bristle;cercal bristle;http://purl.obolibrary.org/obo/HAO_0001182
chela;chela;http://purl.obolibrary.org/obo/HAO_0001183
clypeal tooth;clypeal tooth;http://purl.obolibrary.org/obo/HAO_0001184
clava;clava;http://purl.obolibrary.org/obo/HAO_0001185
club;clava;http://purl.obolibrary.org/obo/HAO_0001185
clavomere;clavomere;http://purl.obolibrary.org/obo/HAO_0001186
claval segment;clavomere;http://purl.obolibrary.org/obo/HAO_0001186
clypeal carina;clypeal carina;http://purl.obolibrary.org/obo/HAO_0001187
clypeogenal sulcus;clypeogenal sulcus;http://purl.obolibrary.org/obo/HAO_0001188
crenulate ring of the metasoma;crenulate ring of the metasoma;http://purl.obolibrary.org/obo/HAO_0001189
ctenidium;ctenidium;http://purl.obolibrary.org/obo/HAO_0001190
wing blade;wing blade;http://purl.obolibrary.org/obo/HAO_0001191
ventral protibio-probasitarsal muscle;ventral protibio-probasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001192
depressor of the fore tarsus;ventral protibio-probasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001192
muscle 68;ventral protibio-probasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001192
ventral metatibio-metabasitarsal muscle;ventral metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001193
depressor of the hind tarsus;ventral metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001193
muscle 116;ventral metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001193
ventral metapleuro-third axillary sclerite of hind wing muscle;ventral metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0001194
pl3v-3ax3;ventral metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0001194
ventral metapleuro-third axillary sclerite of hind wing;ventral metapleuro-third axillary sclerite of hind wing muscle;http://purl.obolibrary.org/obo/HAO_0001194
ventral mesotibio-mesobasitarsal muscle;ventral mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001195
depressor of the middle tarsus;ventral mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001195
muscle 94;ventral mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001195
unguitractor plate of the protarsus;unguitractor plate of the protarsus;http://purl.obolibrary.org/obo/HAO_0001196
unguitractor plate of the metatarsus;unguitractor plate of the metatarsus;http://purl.obolibrary.org/obo/HAO_0001197
unguitractor plate of the mesotarsus;unguitractor plate of the mesotarsus;http://purl.obolibrary.org/obo/HAO_0001198
tyloid;tyloid;http://purl.obolibrary.org/obo/HAO_0001199
trochanteral fossa of the profemur;trochanteral fossa of the profemur;http://purl.obolibrary.org/obo/HAO_0001200
trochanteral fossa of the metafemur;trochanteral fossa of the metafemur;http://purl.obolibrary.org/obo/HAO_0001201
trochanteral fossa of the mesofemur;trochanteral fossa of the mesofemur;http://purl.obolibrary.org/obo/HAO_0001202
transverse metepisternal carina;transverse metepisternal carina;http://purl.obolibrary.org/obo/HAO_0001203
transscutal articulation;transscutal articulation;http://purl.obolibrary.org/obo/HAO_0001204
scutal suture;transscutal articulation;http://purl.obolibrary.org/obo/HAO_0001204
transepisternal line;transepisternal line;http://purl.obolibrary.org/obo/HAO_0001205
transepisternal suture;transepisternal line;http://purl.obolibrary.org/obo/HAO_0001205
tibial fossa of the profemur;tibial fossa of the profemur;http://purl.obolibrary.org/obo/HAO_0001206
tibial fossa of the femur;tibial fossa of the femur;http://purl.obolibrary.org/obo/HAO_0001207
tibial condyle of the probasitarsus;tibial condyle of the probasitarsus;http://purl.obolibrary.org/obo/HAO_0001208
tibial condyle of the metabasitarsus;tibial condyle of the metabasitarsus;http://purl.obolibrary.org/obo/HAO_0001209
tibial condyle of the mesobasitarsus;tibial condyle of the mesobasitarsus;http://purl.obolibrary.org/obo/HAO_0001210
tibial articular process of the probasitarsus;tibial articular process of the probasitarsus;http://purl.obolibrary.org/obo/HAO_0001211
tibial articular process of the metabasitarsus;tibial articular process of the metabasitarsus;http://purl.obolibrary.org/obo/HAO_0001212
tibial articular process of the mesobasitarsus;tibial articular process of the mesobasitarsus;http://purl.obolibrary.org/obo/HAO_0001213
third mesopleuro-third axillary sclerite of fore wing muscle;third mesopleuro-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001214
pl2-3ax2c;third mesopleuro-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001214
posterior mesopleuro-third axillary sclerite of fore wing muscle;third mesopleuro-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001214
third mesopleuro-third axillary sclerite muscle;third mesopleuro-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001214
tergal muscle;tergal muscle;http://purl.obolibrary.org/obo/HAO_0001215
metanoto-metacoxal muscle;metanoto-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0001216
metanoto-metacoxal;metanoto-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0001216
t3-cx3;metanoto-metacoxal muscle;http://purl.obolibrary.org/obo/HAO_0001216
subomaulus;subomaulus;http://purl.obolibrary.org/obo/HAO_0001217
subforaminal bridge;subforaminal bridge;http://purl.obolibrary.org/obo/HAO_0001218
subapical tooth;subapical tooth;http://purl.obolibrary.org/obo/HAO_0001219
accessory tooth;subapical tooth;http://purl.obolibrary.org/obo/HAO_0001219
lobe at the base of the tarsal claws;subapical tooth;http://purl.obolibrary.org/obo/HAO_0001219
subantennal groove;subantennal groove;http://purl.obolibrary.org/obo/HAO_0001220
subalar ridge;subalar ridge;http://purl.obolibrary.org/obo/HAO_0001221
upper mesopleural rim;subalar ridge;http://purl.obolibrary.org/obo/HAO_0001221
strigilis;strigilis;http://purl.obolibrary.org/obo/HAO_0001222
sternal muscle;sternal muscle;http://purl.obolibrary.org/obo/HAO_0001223
squama;squama;http://purl.obolibrary.org/obo/HAO_0001224
spiracular muscle;spiracular muscle;http://purl.obolibrary.org/obo/HAO_0001225
tooth number 2;tooth number 2;http://purl.obolibrary.org/obo/HAO_0001226
t2;tooth number 2;http://purl.obolibrary.org/obo/HAO_0001226
tooth number 3;tooth number 3;http://purl.obolibrary.org/obo/HAO_0001227
t3;tooth number 3;http://purl.obolibrary.org/obo/HAO_0001227
tooth number 4;tooth number 4;http://purl.obolibrary.org/obo/HAO_0001228
t4;tooth number 4;http://purl.obolibrary.org/obo/HAO_0001228
scutellum;scutellum;http://purl.obolibrary.org/obo/HAO_0001229
scutellar plate;scutellar plate;http://purl.obolibrary.org/obo/HAO_0001230
proximodorsal process of the protibia;proximodorsal process of the protibia;http://purl.obolibrary.org/obo/HAO_0001231
proximodorsal process of the metatibia;proximodorsal process of the metatibia;http://purl.obolibrary.org/obo/HAO_0001232
proximodorsal process of the mesotibia;proximodorsal process of the mesotibia;http://purl.obolibrary.org/obo/HAO_0001233
proximal profemoral apodeme;proximal profemoral apodeme;http://purl.obolibrary.org/obo/HAO_0001234
proximal mesofemoral apodeme;proximal mesofemoral apodeme;http://purl.obolibrary.org/obo/HAO_0001235
proximal condyle of the tarsomere;proximal condyle of the tarsomere;http://purl.obolibrary.org/obo/HAO_0001236
proximal articular process of the tarsomere;proximal articular process of the tarsomere;http://purl.obolibrary.org/obo/HAO_0001237
protrochantero-profemoral muscle;protrochantero-profemoral muscle;http://purl.obolibrary.org/obo/HAO_0001238
muscle 63;protrochantero-profemoral muscle;http://purl.obolibrary.org/obo/HAO_0001238
reductor of the fore femur;protrochantero-profemoral muscle;http://purl.obolibrary.org/obo/HAO_0001238
protrochantero-profemoral joint;protrochantero-profemoral joint;http://purl.obolibrary.org/obo/HAO_0001239
protrochantero-profemoral articulation;protrochantero-profemoral articulation;http://purl.obolibrary.org/obo/HAO_0001240
femoral condyle of the protrochanter;femoral condyle of the protrochanter;http://purl.obolibrary.org/obo/HAO_0001241
protrochanteral apodeme;protrochanteral apodeme;http://purl.obolibrary.org/obo/HAO_0001242
protrochantellus;protrochantellus;http://purl.obolibrary.org/obo/HAO_0001243
protibio-probasitarsal joint;protibio-probasitarsal joint;http://purl.obolibrary.org/obo/HAO_0001244
protibio-probasitarsal articulation;protibio-probasitarsal articulation;http://purl.obolibrary.org/obo/HAO_0001245
protibio-pretarsus of the protarsus muscle;protibio-pretarsus of the protarsus muscle;http://purl.obolibrary.org/obo/HAO_0001246
protelotarsus;protelotarsus;http://purl.obolibrary.org/obo/HAO_0001247
fore telotarsus;protelotarsus;http://purl.obolibrary.org/obo/HAO_0001247
foretelotarsus;protelotarsus;http://purl.obolibrary.org/obo/HAO_0001247
propodeum;propodeum;http://purl.obolibrary.org/obo/HAO_0001248
propodeum;propodeum;http://purl.obolibrary.org/obo/HAO_0001249
trochanteral articular process of the metafemur;trochanteral articular process of the metafemur;http://purl.obolibrary.org/obo/HAO_0001250
trochanteral condyle of the metafemur;trochanteral condyle of the metafemur;http://purl.obolibrary.org/obo/HAO_0001251
mesotibio-mesobasitarsal articulation;mesotibio-mesobasitarsal articulation;http://purl.obolibrary.org/obo/HAO_0001252
mesotibio-mesobasitarsal joint;mesotibio-mesobasitarsal joint;http://purl.obolibrary.org/obo/HAO_0001253
articular membrane of the mesotibio-mesobasitarsal muscle;articular membrane of the mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001254
mesotibio-pretarsus of mesotarsus muscle;mesotibio-pretarsus of mesotarsus muscle;http://purl.obolibrary.org/obo/HAO_0001255
mesotrochanteral apodeme;mesotrochanteral apodeme;http://purl.obolibrary.org/obo/HAO_0001256
mesotrochantero-mesofemoral articulation;mesotrochantero-mesofemoral articulation;http://purl.obolibrary.org/obo/HAO_0001257
femoral condyle of the mesotrochanter;femoral condyle of the mesotrochanter;http://purl.obolibrary.org/obo/HAO_0001258
mesotrochantero-mesofemoral joint;mesotrochantero-mesofemoral joint;http://purl.obolibrary.org/obo/HAO_0001259
articular membrane;articular membrane;http://purl.obolibrary.org/obo/HAO_0001260
mesotrochantero-mesofemoral muscle;mesotrochantero-mesofemoral muscle;http://purl.obolibrary.org/obo/HAO_0001261
muscle 89;mesotrochantero-mesofemoral muscle;http://purl.obolibrary.org/obo/HAO_0001261
reductor of the middle femur;mesotrochantero-mesofemoral muscle;http://purl.obolibrary.org/obo/HAO_0001261
mesotrochantinal muscle;mesotrochantinal muscle;http://purl.obolibrary.org/obo/HAO_0001262
metabasicoxite;metabasicoxite;http://purl.obolibrary.org/obo/HAO_0001263
metacoxal foramen;metacoxal foramen;http://purl.obolibrary.org/obo/HAO_0001264
metacoxo-metatrochanteral joint;metacoxo-metatrochanteral joint;http://purl.obolibrary.org/obo/HAO_0001265
metafemoro-metatibial joint;metafemoro-metatibial joint;http://purl.obolibrary.org/obo/HAO_0001266
metafemoro-pretarsus of the metatarsus muscle;metafemoro-pretarsus of the metatarsus muscle;http://purl.obolibrary.org/obo/HAO_0001267
metapecto-metacoxal joint;metapecto-metacoxal joint;http://purl.obolibrary.org/obo/HAO_0001268
metapectus;metapectus;http://purl.obolibrary.org/obo/HAO_0001269
metapectus;metapectus;http://purl.obolibrary.org/obo/HAO_0001270
metapleuron;metapleuron;http://purl.obolibrary.org/obo/HAO_0001271
metapleuron;metapleuron;http://purl.obolibrary.org/obo/HAO_0001272
metapleuron;metapleuron;http://purl.obolibrary.org/obo/HAO_0001273
metasomal condyle of the propodeum;metasomal condyle of the propodeum;http://purl.obolibrary.org/obo/HAO_0001274
metatelotarsus;metatelotarsus;http://purl.obolibrary.org/obo/HAO_0001275
hind telotarsus;metatelotarsus;http://purl.obolibrary.org/obo/HAO_0001275
metatibio-metabasitarsal articulation;metatibio-metabasitarsal articulation;http://purl.obolibrary.org/obo/HAO_0001276
metatibio-metabasitarsal joint;metatibio-metabasitarsal joint;http://purl.obolibrary.org/obo/HAO_0001277
metatibio-pretarsus of the metatarsus muscle;metatibio-pretarsus of the metatarsus muscle;http://purl.obolibrary.org/obo/HAO_0001278
metatrochanteral apodeme;metatrochanteral apodeme;http://purl.obolibrary.org/obo/HAO_0001279
metatrochantero-metafemoral muscle;metatrochantero-metafemoral muscle;http://purl.obolibrary.org/obo/HAO_0001280
muscle 111;metatrochantero-metafemoral muscle;http://purl.obolibrary.org/obo/HAO_0001280
reductor of the hind femur;metatrochantero-metafemoral muscle;http://purl.obolibrary.org/obo/HAO_0001280
metatrochantero-metafemoral joint;metatrochantero-metafemoral joint;http://purl.obolibrary.org/obo/HAO_0001281
posterior mesotibio-mesobasitarsal muscle;posterior mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001282
muscle 93;posterior mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001282
reductor of the middle tarsus;posterior mesotibio-mesobasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001282
ninth abdominal tergal muscle;ninth abdominal tergal muscle;http://purl.obolibrary.org/obo/HAO_0001283
cranial condyle of the propleuron;cranial condyle of the propleuron;http://purl.obolibrary.org/obo/HAO_0001284
occipital condyle of the cervical prominence;cranial condyle of the propleuron;http://purl.obolibrary.org/obo/HAO_0001284
occlusor muscle apodeme of the mesothoracic spiracle;occlusor muscle apodeme of the mesothoracic spiracle;http://purl.obolibrary.org/obo/HAO_0001285
occlusor muscle apodeme;occlusor muscle apodeme of the mesothoracic spiracle;http://purl.obolibrary.org/obo/HAO_0001285
occlusor muscle apodeme of anterior thoracic spiracle;occlusor muscle apodeme of the mesothoracic spiracle;http://purl.obolibrary.org/obo/HAO_0001285
occlusor of the propodeal spiracle muscle;occlusor of the propodeal spiracle muscle;http://purl.obolibrary.org/obo/HAO_0001286
oT1sp;occlusor of the propodeal spiracle muscle;http://purl.obolibrary.org/obo/HAO_0001286
occlusor of the propodeal spiracle;occlusor of the propodeal spiracle muscle;http://purl.obolibrary.org/obo/HAO_0001286
odontoidea;odontoidea;http://purl.obolibrary.org/obo/HAO_0001287
occipital condyle;odontoidea;http://purl.obolibrary.org/obo/HAO_0001287
omaulus;omaulus;http://purl.obolibrary.org/obo/HAO_0001288
opisthogaster;opisthogaster;http://purl.obolibrary.org/obo/HAO_0001289
ovipositor muscle;ovipositor muscle;http://purl.obolibrary.org/obo/HAO_0001290
parameral seta;parameral seta;http://purl.obolibrary.org/obo/HAO_0001291
pecto-coxal joint;pecto-coxal joint;http://purl.obolibrary.org/obo/HAO_0001292
pleurostomal carina;pleurostomal carina;http://purl.obolibrary.org/obo/HAO_0001293
posterior trochanteral condyle of the mesocoxa;posterior trochanteral condyle of the mesocoxa;http://purl.obolibrary.org/obo/HAO_0001294
posterior coxal fossa of the metatrochanter;posterior coxal fossa of the metatrochanter;http://purl.obolibrary.org/obo/HAO_0001295
posterior trochanteral condyle of the metacoxa;posterior trochanteral condyle of the metacoxa;http://purl.obolibrary.org/obo/HAO_0001296
posterior coxal fossa of the protrochanter;posterior coxal fossa of the protrochanter;http://purl.obolibrary.org/obo/HAO_0001297
posterior trochanteral condyle of the procoxa;posterior trochanteral condyle of the procoxa;http://purl.obolibrary.org/obo/HAO_0001298
posterior femoro-tibial articulation;posterior femoro-tibial articulation;http://purl.obolibrary.org/obo/HAO_0001299
posterior mesocoxo-mesotrochanteral articulation;posterior mesocoxo-mesotrochanteral articulation;http://purl.obolibrary.org/obo/HAO_0001300
posterior mesocoxo-mesotrochanteral muscle;posterior mesocoxo-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001301
muscle 85;posterior mesocoxo-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001301
posterior levator of the middle trochanter;posterior mesocoxo-mesotrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001301
posterior mesonoto-metanotal muscle;posterior mesonoto-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001302
posterior mesonoto-metanotal;posterior mesonoto-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001302
t2p-t3;posterior mesonoto-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001302
posterior metacoxo-metatrochanteral articulation of the metacoxa;posterior metacoxo-metatrochanteral articulation of the metacoxa;http://purl.obolibrary.org/obo/HAO_0001303
propodeal muscle;propodeal muscle;http://purl.obolibrary.org/obo/HAO_0001304
propleural arm-protrochanteral muscle;propleural arm-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001305
ppa-tr1;propleural arm-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001305
propleural arm-protrochanteral;propleural arm-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001305
pronoto-third axillary sclerite of fore wing muscle;pronoto-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001306
pronoto-third axillary sclerite muscle;pronoto-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001306
pronoto-third axillary sclerite of fore wing;pronoto-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001306
t1-3ax2;pronoto-third axillary sclerite of fore wing muscle;http://purl.obolibrary.org/obo/HAO_0001306
propecto-procoxal joint;propecto-procoxal joint;http://purl.obolibrary.org/obo/HAO_0001307
prong of hypopygium;prong of hypopygium;http://purl.obolibrary.org/obo/HAO_0001308
profurco-protrochanteral muscle;profurco-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001309
fu1-tr1;profurco-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001309
profurco-protrochanteral;profurco-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001309
profurcasternum;profurcasternum;http://purl.obolibrary.org/obo/HAO_0001310
profemoro-protibial joint;profemoro-protibial joint;http://purl.obolibrary.org/obo/HAO_0001311
profemoro-pretarsus of protarsus muscle;profemoro-pretarsus of protarsus muscle;http://purl.obolibrary.org/obo/HAO_0001312
procuticle;procuticle;http://purl.obolibrary.org/obo/HAO_0001313
chitinous cuticle;procuticle;http://purl.obolibrary.org/obo/HAO_0001313
procoxo-protrochanteral joint;procoxo-protrochanteral joint;http://purl.obolibrary.org/obo/HAO_0001314
procoxal foramen;procoxal foramen;http://purl.obolibrary.org/obo/HAO_0001315
proboscidial fossa;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
buccal cavity;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
hypostomal cavity;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
maxacava;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
oral chamber;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
oral fossa;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
trophicava;proboscidial fossa;http://purl.obolibrary.org/obo/HAO_0001316
probasisternum;probasisternum;http://purl.obolibrary.org/obo/HAO_0001317
probasicoxite;probasicoxite;http://purl.obolibrary.org/obo/HAO_0001318
pretarsus of protarsus;pretarsus of protarsus;http://purl.obolibrary.org/obo/HAO_0001319
pretarsus of metatarsus;pretarsus of metatarsus;http://purl.obolibrary.org/obo/HAO_0001320
pretarsus of mesotarsus;pretarsus of mesotarsus;http://purl.obolibrary.org/obo/HAO_0001321
prepecto-procoxal muscle;prepecto-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0001322
prospinasterno-procoxal;prepecto-procoxal muscle;http://purl.obolibrary.org/obo/HAO_0001322
preomaular area;preomaular area;http://purl.obolibrary.org/obo/HAO_0001323
precoxal carina;precoxal carina;http://purl.obolibrary.org/obo/HAO_0001324
mesopleural carina;precoxal carina;http://purl.obolibrary.org/obo/HAO_0001324
pre-apical ledge;pre-apical ledge;http://purl.obolibrary.org/obo/HAO_0001325
postmedian metanotal wing process;postmedian metanotal wing process;http://purl.obolibrary.org/obo/HAO_0001326
metanotal wing process;postmedian metanotal wing process;http://purl.obolibrary.org/obo/HAO_0001326
postmedian notal wing process;postmedian metanotal wing process;http://purl.obolibrary.org/obo/HAO_0001326
posterolateral metapleuro-metanotal muscle;posterolateral metapleuro-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001327
pl3lp-t3;posterolateral metapleuro-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001327
posterolateral metapleuro-metanotal;posterolateral metapleuro-metanotal muscle;http://purl.obolibrary.org/obo/HAO_0001327
posterolateral metacoxo-metatrochanteral muscle;posterolateral metacoxo-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001328
muscle 108;posterolateral metacoxo-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001328
posterior levator of the hind trochanter;posterolateral metacoxo-metatrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001328
posterior trochanteral articular process of the procoxa;posterior trochanteral articular process of the procoxa;http://purl.obolibrary.org/obo/HAO_0001329
posterior trochanteral articular process of the metacoxa;posterior trochanteral articular process of the metacoxa;http://purl.obolibrary.org/obo/HAO_0001330
posterior trochanteral articular process of the mesocoxa;posterior trochanteral articular process of the mesocoxa;http://purl.obolibrary.org/obo/HAO_0001331
posterior metafemoro-metatibial articulation;posterior metafemoro-metatibial articulation;http://purl.obolibrary.org/obo/HAO_0001332
posterior procoxo-protrochanteral articulation;posterior procoxo-protrochanteral articulation;http://purl.obolibrary.org/obo/HAO_0001333
posterior metatibio-metabasitarsal muscle;posterior metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001334
levator of the hind tarsus;posterior metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001334
muscle 115;posterior metatibio-metabasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001334
posterior procoxo-protrochanteral muscle;posterior procoxo-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001335
muscle 60;posterior procoxo-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001335
posterior levator of the fore trochanter;posterior procoxo-protrochanteral muscle;http://purl.obolibrary.org/obo/HAO_0001335
posterior profemoro-protibial articulation;posterior profemoro-protibial articulation;http://purl.obolibrary.org/obo/HAO_0001336
posterior protibio-probasitarsal muscle;posterior protibio-probasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001337
muscle 67;posterior protibio-probasitarsal muscle;http://purl.obolibrary.org/obo/HAO_0001337
